,GameSno,FieldAbbe,VisitingTeamName,HomeTeamName,VisitingScore,HomeScore,AudienceCnt,Year,Date,Weekdays,HeadUmpire,GameTime,EndTime,WeatherDesc,MVPname,RainPct,Temperature,Angels
1,3,樂天桃園,富邦悍將,樂天桃猿,3,3,11118,2023,2023/4/2,星期日,張展榮,273,21:52:00,多雲。降雨機率 10%。溫度攝氏23度。舒適。東北風 平均風速2-3級(每秒4公尺)。相對濕度60%。,黃子鵬,10,23,"琳妲,苡萱,嘎琳,小紫,阿布舞,宋宋,筠熹,儷軒,語芯,卉妮,陳伊,穎樂,孟潔,Yuri,熊霓,Kira,菲菲,心韻,雅涵,慧慧,若潼,李昀,禹菡,凱莉絲,籃籃,十元,岱縈,曲曲,李多慧,芷軒,凱伊,林襄,溫妮"
2,21,樂天桃園,味全龍,樂天桃猿,8,3,7651,2023,2023/4/14,星期五,紀華文,220,22:15:00,晴。降雨機率 10%。溫度攝氏25度。舒適。西南風 平均風速1-2級(每秒2公尺)。相對濕度67%。,劉基鴻,10,25,"菲菲,苡萱,孟潔,岱縈,Yuri,凱莉絲,陳伊,卉妮,語芯,穎樂,小紫,宋宋,十元,禹菡,儷軒,李多慧 "
3,23,樂天桃園,味全龍,樂天桃猿,5,4,8562,2023,2023/4/15,星期六,蘇建文,210,20:35:00,陰。降雨機率 40%。溫度攝氏22度。舒適。偏東風 平均風速1-2級(每秒2公尺)。相對濕度79%。,鋼龍,40,22,"苡萱,筠熹,慧慧,卉妮,語芯,小紫,嘎琳,十元,雅涵,熊霓,李昀,心韻,凱伊,Kira,李多慧"
4,25,樂天桃園,味全龍,樂天桃猿,4,0,7742,2023,2023/4/16,星期日,邱景彥,196,17:20:00,晴。降雨機率 0%。溫度攝氏28度。舒適。西北風 平均風速1-2級(每秒3公尺)。相對濕度56%。,林智勝,0,28,"菲菲,孟潔,岱縈,筠熹,琳妲,小紫,嘎琳,宋宋,十元,熊霓,李昀,儷軒,Kira,李多慧  "
5,40,樂天桃園,富邦悍將,樂天桃猿,1,3,3534,2023,2023/4/25,星期二,邱景彥,190,22:40:00,短暫雨。降雨機率 30%。溫度攝氏22度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度87%。,陳克羿,30,22,"巫苡萱,小紫,宋宋,筠熹,卉妮,陳伊,穎樂,熊霓,Kira,慧慧,若潼,李昀,儷軒,十元"
6,42,樂天桃園,中信兄弟,樂天桃猿,15,6,4742,2023,2023/4/26,星期三,蔡豐澤,241,22:35:00,多雲。降雨機率 20%。溫度攝氏19度。稍有寒意。偏東風 平均風速3-4級(每秒6公尺)。相對濕度80%。,張志豪,20,19,"嘎琳,小紫,阿布舞,宋宋,儷軒,語芯,卉妮,陳伊,穎樂,心韻,若潼,岱縈,芷軒,琳妲"
7,44,樂天桃園,中信兄弟,樂天桃猿,4,6,4810,2023,2023/4/27,星期四,林金達,191,21:46:00,多雲。降雨機率 0%。溫度攝氏24度。舒適。東北風 平均風速1-2級(每秒3公尺)。相對濕度78%。,朱育賢,0,24,"巫苡萱,嘎琳,儷軒,語芯,陳伊,穎樂,Yuri,菲菲,若潼,凱莉絲,十元,岱縈,曲曲,芷軒"
8,46,樂天桃園,中信兄弟,樂天桃猿,4,7,8435,2023,2023/4/28,星期五,蘇建文,233,22:28:00,晴。降雨機率 0%。溫度攝氏25度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度93%。,威達爾,0,25,"巫苡萱,小紫,筠熹,卉妮,陳伊,穎樂,Yuri,Kira,菲菲,心韻,慧慧,岱縈,芷軒,琳妲 "
9,51,樂天桃園,富邦悍將,樂天桃猿,8,1,3972,2023,2023/5/2,星期二,王俊宏,200,21:54:00,晴。降雨機率 0%。溫度攝氏26度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度78%。,陳仕朋,0,26,"嘎琳,語芯,卉妮,陳伊,Yuri,熊霓,心韻,雅涵,慧慧,若潼,禹菡,凱莉絲,十元,曲曲 "
10,53,樂天桃園,富邦悍將,樂天桃猿,1,2,4530,2023,2023/5/3,星期三,紀華文,152,21:06:00,晴。降雨機率 0%。溫度攝氏26度。舒適。西南風 平均風速<= 1級(每秒1公尺)。相對濕度87%。,廖健富,0,26,"巫苡萱,嘎琳,小紫,卉妮,陳伊,熊霓,Kira,菲菲,慧慧,若潼,凱莉絲,十元,岱縈,李多慧,芷軒"
11,55,樂天桃園,中信兄弟,樂天桃猿,6,11,6105,2023,2023/5/4,星期四,邱景彥,199,21:54:00,多雲。降雨機率 0%。溫度攝氏27度。舒適。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度75%。,廖健富,0,27,"巫苡萱,嘎琳,小紫,宋宋,語芯,陳伊,Yuri,熊霓,菲菲,岱縈,曲曲,李多慧,芷軒,琳妲"
12,60,樂天桃園,味全龍,樂天桃猿,8,5,11234,2023,2023/5/6,星期六,陳均瑋,231,21:00:00,多雲。降雨機率 20%。溫度攝氏29度。舒適。西南風 平均風速1-2級(每秒3公尺)。相對濕度54%。,劉基鴻,20,29,"嘎琳,小紫,宋宋,筠熹,穎樂,熊霓,若潼,李昀,禹菡,凱莉絲,十元,李多慧,芷軒,凱伊,林襄"
13,75,樂天桃園,統一7-ELEVEn獅,樂天桃猿,2,4,3858,2023,2023/5/16,星期二,楊崇煇,184,21:38:00,晴。降雨機率 20%。溫度攝氏26度。舒適。西南風 平均風速<= 1級(每秒1公尺)。相對濕度79%。,郭嚴文,20,26,"嘎琳,宋宋,筠熹,儷軒,穎樂,菲菲,心韻,雅涵,若潼,李昀,禹菡,十元,芷軒,琳妲 "
14,77,樂天桃園,統一7-ELEVEn獅,樂天桃猿,0,1,3895,2023,2023/5/17,星期三,張展榮,160,21:15:00,晴。降雨機率 10%。溫度攝氏28度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度73%。,威達爾,10,28,"巫苡萱,嘎琳,宋宋,筠熹,卉妮,穎樂,Kira,菲菲,心韻,若潼,凱莉絲,十元,岱縈,凱伊"
15,79,樂天桃園,味全龍,樂天桃猿,3,9,3841,2023,2023/5/18,星期四,尤志欽,196,21:51:00,晴。降雨機率 20%。溫度攝氏29度。舒適。偏西風 平均風速4-5級(每秒8公尺)。相對濕度68%。,林泓育,20,29,"巫苡萱,嘎琳,小紫,語芯,卉妮,陳伊,穎樂,孟潔,若潼,凱莉絲,籃籃,岱縈,曲曲,琳妲"
16,84,樂天桃園,中信兄弟,樂天桃猿,6,3,11469,2023,2023/5/20,星期六,蘇建文,228,20:53:00,多雲。降雨機率 20%。溫度攝氏26度。舒適。西北風 平均風速1-2級(每秒2公尺)。相對濕度90%。,陳文杰,20,26,"嘎琳,宋宋,筠熹,儷軒,語芯,陳伊,穎樂,孟潔,心韻,慧慧,李昀,禹菡,籃籃,十元,岱縈,李多慧,琳妲"
